CLOSE	HIGH	LOW	VOLUME	MARKETCAP	GSADF	HASHRATE	TRANSFEES	FGI	CONFIRMTIME	MININGREVENUE
7200.17	7254.33	7174.94	18565664997	130394101535.61	-0.2336211478	112718458.532564	9.97099973	37	6.2264062622	15907075.7858818
6985.47	7212.16	6935.27	20802083465	130422953817668	-0.4306290494	96717718.3123778	13.78084459	39	14.2289619259	12576131.2232563
7344.88	7413.72	6915	28111481032	126280790200.202	-0.3974569071	115924073.721928	16.38979535	38	11.0009062138	15705586.471209
7410.66	7427.39	7309.51	18444271275	132766262579.095	-0.4888319695	115238132.457301	12.31216518	38	9.868912212	15650931.3942571
7411.32	7544.5	7400.54	19725074095	133474716218.183	-0.802474408	111808426.134167	11.88711242	39	8.8277051248	15404396.6232259
7769.22	7781.87	7409.29	23276261598	133388991086.88	-0.8448266393	92602070.7246171	20.49312376	41	36.1172463258	13051403.0811154
8163.69	8178.22	7768.23	28767291327	140557168287.444	-0.9171782	120725662.574316	25.56190656	40	17.8475748504	17646229.3032322
8079.86	8396.74	7956.77	31672559265	147798610895.501	-0.8005922568	97403659.5770046	30.83081053	51	32.5248961542	14890476.7245234
7879.07	8082.3	7842.4	24045990466	146089575425.28	-0.4580265169	107692778.546407	29.78119837	44	33.4367355398	15730239.7133437
8166.55	8166.55	7726.77	28714583844	141913856953.479	-0.0775276147	102205248.429392	32.5651343	41	18.7722834634	15541380.5657432
8037.54	8218.36	8029.64	25521165085	146879934259.309	-0.1534725164	111808426.134167	18.38352814	50	9.7713032848	16893865.3907386
8192.49	8200.06	8009.06	22903438381	145561586658.574	0.0142270898	103577130.958646	14.53164303	45	10.6862596815	15625350.6674988
8144.19	8197.79	8079.7	22482910688	148204228775.388	-0.2250085283	98089600.8416314	17.63102526	49	17.8368445055	14633330.0813923
8827.76	8879.51	8140.93	44841784107	147446058196.459	-0.2502824257	99607271.2200415	26.221577	56	54.1062585402	15748081.3734265
8807.01	8890.12	8657.19	40102834650	159481192213.821	-0.3511896532	110915119.366187	31.35812937	54	24.7743427177	16792710.0748656
8723.79	8846.46	8612.1	31313981931	159960761751.849	-0.4541689851	116791417.080951	23.85247351	55	17.5277714363	17478168.636505
8929.04	8958.12	8677.32	36372139320	158412991117.647	-0.6035381161	116791417.080951	24.29323765	54	26.1201036194	17783148.0200682
8942.81	9012.2	8827.33	32337772627	161848747742.151	-0.2744737156	96958912.29362	17.76555017	51	17.7625854627	14834325.0760483
8706.25	9164.36	8620.08	34217320471	161823609428.346	-0.1879216897	110180582.151841	16.5175935	53	20.9238517656	16961771.1248425
8657.64	8745.59	8560.47	26422375678	157906057309.307	-0.1687666232	111649656.580532	17.74334005	48	13.8137071362	16034934.2929324
8745.89	8755.71	8544.52	24097418512	156848009983.549	-0.1513475844	112384193.794878	20.51905021	49	25.2881835774	16708344.241405
8680.88	8792.99	8636.75	22600204051	158564958350.98	0.0450852622	114587805.437915	21.67952284	52	24.7931844855	17310387.5912493
8406.52	8687.75	8333.64	25770680779	157502652064.022	-0.2597271592	116791417.080951	21.03754657	49	13.5810309322	17169132.3178694
8445.43	8514.67	8266.84	24397913026	152984928858.576	0.0075624064	111649656.580532	16.10082373	40	14.7909303039	16478219.0489395
8367.85	8458.45	8296.22	19647331549	153294353936.51	0.0902820154	120464103.152679	11.39326294	41	9.3140769946	17146239.26569
8596.83	8602.4	8325.5	22177678796	151794495723.252	-0.0797195502	105038821.651422	10.57299079	42	13.7986479422	15373871.852787
8909.82	8977.73	8597.31	28647338393	156302144661.309	-0.0618589616	94755300.6505832	19.78717492	50	26.9306902272	14226813.8664812
9358.59	9358.59	8908.45	34398744403	161473602737.427	-0.4926217779	107321517.0167	22.98737848	54	71.3057450026	16242549.0084109
9316.63	9406.43	9269.47	30682598115	169518428144.891	-0.538621939	123011831.712795	20.42515898	57	21.2216076232	18887556.2843298
9508.99	9553.13	9230.9	32378792851	168738228801.505	-0.7403089309	119936535.919975	19.64580869	57	27.0798934319	18922276.3946485
9350.53	9521.71	9230.78	29432489719	172993102966.377	-0.49537144	110710648.541515	22.53135857	55	30.1419374294	17040641.8640666
9392.88	9439.32	9313.24	25922656496	169340144566.237	-0.7968137394	116092416.17895	17.4815999	57	11.3668528689	17858163.3183205
9344.37	9468.8	9217.82	30835736946	170361167834.165	-0.9029773133	109941824.59331	16.94878932	57	25.431969478	16944231.593907
9293.52	9540.37	9248.63	30934096509	169926610304.085	-0.8909737275	113785944.334335	21.53312454	59	21.8613722035	17467129.7546416
9180.96	9331.27	9112.81	29893183716	169406963182.694	-0.9212324558	101484761.163056	23.74587464	56	38.7299904223	15415016.36326
9613.42	9701.3	9163.7	35222060874	167075369075.115	-0.8113693027	122243007.76459	25.44140813	53	27.9870737726	19130672.8183499
9729.8	9824.62	9539.82	37628823716	174596806174.299	-0.9509401308	103791233.007671	27.10635364	61	22.4604900871	17105098.5956135
9795.94	9834.72	9726	34522718159	177388314197.565	-1.1449092719	106866528.80049	31.51759356	56	57.6870478459	17296713.6149433
9865.12	9876.75	9678.91	35172043762	178414902529.152	-1.1908046098	106866528.80049	21.33690612	56	39.1766482	17511947.9489374
10116.67	10129.44	9850.39	35807884663	180081607384.423	-1.1715938321	117630064.07536	19.8217869	56	12.0664748762	19747647.2563808
9856.61	10165.77	9784.56	39386548075	184792100015.164	-1.0757627356	93796521.681006	27.58066679	57	22.3057039091	15671545.1161284
10208.24	10210.05	9729.33	37648059389	180145850760.053	-1.0055813721	114190850.876276	34.77248558	52	94.0988235739	19051941.2100874
10326.05	10393.61	10202.39	43444303830	186262984851.993	-0.9642233709	109742275.18922	37.39850183	61	65.4139256579	18763378.4859796
10214.38	10457.63	10116.16	49356071373	188132988212.867	-1.2416589141	108969442.265353	35.47858608	65	74.5589277635	18474198.4419548
10312.12	10322	10125.53	43338264162	186190344916.033	-1.1823013959	104332444.722146	32.17258486	63	20.3690867685	17892676.3265022
9889.42	10341.56	9874.43	43865054831	187680301470.739	-0.6691563397	109742275.18922	28.54821404	64	53.7117000443	18294966.9414571
9934.43	10053.97	9722.39	43374780305	180265718400.57	-0.989912039	109742275.18922	21.59936997	59	12.6301453849	17801511.08347
9690.14	9938.82	9507.64	45998298413	181221481668.741	-1.0361934411	121334769.047237	25.29770103	49	18.7606096592	19823862.1987849
10142	10161.94	9632.38	47271023953	176547652266.397	-0.9154839338	115924938.580162	30.12812537	53	21.5592879821	19007001.5279857
9633.39	10191.68	9611.22	46992019710	184918071499.101	-0.2819169896	108969442.265353	31.4285617	50	34.9346909702	18406770.3412521
9608.48	9643.22	9507.9	44925260237	175312937106.921	-0.087692036	97376948.4073364	27.79666259	44	36.7121051881	15368284.8740307
9686.44	9723.01	9589.74	40930547513	174871048291.166	-0.1230644083	119016270.275633	23.54449483	44	22.6914931314	18886942.6943443
9663.18	9698.23	9600.73	35838025154	176701844101.557	-0.1834911098	114379272.732427	18.32436669	43	14.1893571472	18051502.9659413
9924.52	9937.4	9657.79	41185185761	176097270350.483	2.3440252732	109742275.18922	16.62073804	46	12.6737963146	17684305.8236258
9650.17	9951.75	9537.04	45080496648	181368043820.094	2.241545801	108969442.265353	22.9242627	46	32.830777491	17377835.2213733
9341.71	9652.74	9305.02	42515259129	175872097740.407	1.5187417666	111020255.745151	24.54482939	44	32.8224984495	17822599.4317669
8820.52	9354.78	8704.43	50420050762	170478976467.624	1.0289921662	104700775.427287	29.29911468	41	43.8634967195	15629013.6810431
8784.49	8932.89	8577.2	45470195695	160731785487.815	1.2309778451	113169220.498612	26.95964399	39	25.6203589141	16401715.3340557
8672.46	8890.46	8492.93	44605450443	160149975301.42	0.9011784016	121637665.569937	26.28258744	40	12.6577498119	17412081.0567263
8599.51	8775.63	8599.51	35792392544	159030381910.267	0.6451281207	107010351.35583	18.50395585	38	15.2074197802	15277906.3501235
8562.45	8726.8	8471.21	35349164300	156047250857.112	-0.2920699968	136264979.784043	14.44661165	39	8.7259725943	19058740.702697
8869.67	8921.31	8532.63	42857674409	155934421965.273	-0.492542845	114708937.784307	22.93901727	38	30.9402703321	16697791.7547892
8787.79	8901.6	8704.99	42386715821	162521881368.876	-0.5037541907	117788372.355698	24.71643759	38	29.863695569	17037037.2303219
8755.25	8843.37	8712.43	34746706368	159816567727.143	-0.3551164645	128566393.355566	24.25737051	40	29.6362349069	18948989.9695022
9078.76	9142.05	8757.25	39698054597	159869936941.097	-0.5992393635	125486958.784175	24.37165686	41	18.9148578975	18562608.9764852
9122.55	9167.7	9032.08	40826885651	165070261612788	-0.799906398	119328089.641393	26.63263902	39	43.3986362921	18084440.7557398
8909.95	9163.22	8890.74	36216930370	166791067805.428	-0.8138049181	120867806.927089	18.53853474	38	10.7336654626	18200369.580492
8108.12	8914.34	8105.25	39973102121	162543409238.005	-0.8294068761	121637665.569937	16.14238732	33	9.9254461527	17385259.2570763
7923.64	8177.79	7690.1	46936995808	147076617271.689	-0.7721632917	119877105.097528	25.61204951	17	27.610396341	15003719.0413104
7909.73	8136.95	7814.76	42213940994	144664117909.408	-0.6993909229	108616241.391911	27.9412801	16	34.8658578888	13309094.5286119
7911.43	7950.81	7642.81	38682762605	144410718987.889	-0.5791732552	97919187.3154346	29.56150425	17	48.0971949435	11906436.352487
4970.79	7929.12	4860.35	53980357243	144948460093.296	-0.754635858	124250397.349837	59.16829292	14	98.118114123	13544827.8769228
5563.71	5838.11	4106.98	74156772075	93092131086.9703	-0.8050013684	102856289.196885	84.31311198	10	92.3993125861	8634486.98165652
5200.37	5625.23	5125.07	36154506008	101262945297.358	-0.8614828881	105324840.13761	52.86649863	8	226.7670429668	8986521.2261113
5392.31	5836.65	5169.28	33997889639	95216478864.6556	-0.926071099	97919187.3154346	44.30830399	12	32.7380954733	8103100.66412195
5014.48	5385.23	4575.36	45368026430	98632587514.0025	-0.9286259791	97919187.3154346	61.56626918	9	46.1332547228	7889846.94060429
5225.63	5371.35	4981.91	38622642935	91962797384.2825	-0.9614029004	101210588.569735	62.25196409	8	96.2078663307	8477516.57450476
5238.44	5331.83	5069.34	37878801016	98079756006.7929	-0.9591043631	82285031.3575081	58.77164193	11	58.1795135015	6941254.71929466
6191.19	6329.74	5236.97	51000731797	98259998309.0532	-1.0462835112	88044983.5525337	68.45700527	12	108.3097468804	7981376.24196957
6198.78	6844.26	5865.78	54442976103	112778383593.491	-1.0545047065	89690684.1796838	79.98994299	9	118.3287939864	9446456.6579134
6185.07	6378.14	5932.82	42494390880	113030383272.514	-1.0775968035	102033438.88331	47.08077798	9	113.0197794423	9873966.12841585
5830.25	6359.7	5823.71	40099664740	112349835902.33	-1.0854289168	104501989.824035	33.34176341	11	12.8169546574	9996191.20726949
6416.31	6443.93	5785	46491916000	107128564670.891	-1.0426625053	92159235.1204091	51.42451024	10	63.1827041901	8912695.38775182
6734.8	6789.02	6411.07	48221910672	118046727572.545	-1.0373708063	108616241.391911	44.74357832	12	35.5157053395	11290318.1081887
6681.06	6892.51	6536.93	44590107888	123064256188.859	-1.0638358952	75702228.8489074	45.40177404	13	81.181626542	8111093.56505244
6716.44	6735.46	6590.96	35319797642	122445336599.199	-1.0536143335	112492821.358516	55.05597495	14	71.8483328439	13691118.2118555
6469.8	6793.84	6466.7	34585598367	123732739823.463	-1.0563931536	107197274.863781	41.578544	12	28.5498259182	13411241.2554212
6242.19	6467.5	6117.84	34885225901	117019679177.814	-1.0262912687	93365368.4297446	28.81999627	8	14.5080547856	10989618.9333618
5922.04	6250.47	5920.09	28373690931	114171796491.499	-1.1095515144	104430893.576974	21.0619088	12	9.0988744482	11822813.2911171
6429.84	6517.2	5903.23	37101651525	108551603303.51	-1.1292155958	101664512.290166	26.24289384	10	18.0407858604	11637863.3799015
6438.64	6504.52	6374.16	32786468812	117151628726.534	-1.1544921947	109963656.150588	29.06116194	12	22.7681902438	13165642.8313156
6606.78	6612.57	6202.37	40346426266	117750205634.4	-1.1580618194	105814084.220377	26.74327122	12	16.7728201883	12386579.1867395
6793.62	7088.25	6595.92	47660646124	120921617010.348	-1.1297530664	105814084.220377	25.01439071	14	21.1856214069	13018917.4093132
6733.39	7003.22	6673.34	38976504903	124719708453.635	-1.1285539548	91290582.4646392	25.82618528	14	30.49548479	11436511.5514712
